stockDate,start,high,low,end,前日比,前日比%,volume,nikkeiFlag
22/09/13,"28,556.21","28,659.76","28,530.36","28,614.63",－,－,931590000.0,2
22/09/14,"28,132.70","28,141.92","27,795.64","27,818.62",-796.01,-2.8,1200480000.0,1
22/09/15,"27,873.96","27,946.20","27,801.44","27,875.91",+57.29,+0.2,897540000.0,2
22/09/16,"27,631.39","27,654.99","27,525.68","27,567.65",-308.26,-1.1,1417560000.0,1
22/09/20,"27,788.68","27,907.45","27,627.86","27,688.42",+120.77,+0.4,1034410000.0,1
22/09/21,"27,440.84","27,467.34","27,297.50","27,313.13",-375.29,-1.4,1068750000.0,1
22/09/22,"27,053.58","27,197.07","26,955.18","27,153.83",-159.30,-0.6,1144750000.0,2
22/09/26,"26,779.44","26,779.44","26,424.60","26,431.55",-722.28,-2.7,1526630000.0,1
22/09/27,"26,585.38","26,680.20","26,523.77","26,571.87",+140.32,+0.5,1145570000.0,1
22/09/28,"26,422.86","26,516.32","25,938.36","26,173.98",-397.89,-1.5,1554740000.0,1
22/09/29,"26,280.50","26,458.67","26,221.78","26,422.05",+248.07,+0.9,1403610000.0,2
22/09/30,"26,240.00","26,273.65","25,805.59","25,937.21",-484.84,-1.8,1520290000.0,1
22/10/03,"25,778.95","26,223.84","25,621.96","26,215.79",+278.58,+1.1,1269340000.0,2
22/10/04,"26,653.49","26,994.44","26,633.52","26,992.21",+776.42,+3.0,1378660000.0,2
22/10/05,"27,211.32","27,216.80","27,030.55","27,120.53",+128.32,+0.5,1185700000.0,1
22/10/06,"27,137.98","27,399.19","27,137.98","27,311.30",+190.77,+0.7,1139430000.0,2
22/10/07,"26,975.92","27,198.91","26,921.90","27,116.11",-195.19,-0.7,1111960000.0,2
22/10/11,"26,757.12","26,759.62","26,369.56","26,401.25",-714.86,-2.6,1296460000.0,1
22/10/12,"26,353.22","26,495.75","26,313.41","26,396.83",-4.42,-0.0,1164940000.0,2
22/10/13,"26,398.29","26,408.31","26,237.42","26,237.42",-159.41,-0.6,1042870000.0,1
22/10/14,"26,599.32","27,180.16","26,595.35","27,090.76",+853.34,+3.3,1319310000.0,2
22/10/17,"26,785.02","26,814.92","26,649.13","26,775.79",-314.97,-1.2,1057210000.0,1
22/10/18,"27,167.73","27,229.88","26,910.10","27,156.14",+380.35,+1.4,1106720000.0,1
22/10/19,"27,225.17","27,371.38","27,192.79","27,257.38",+101.24,+0.4,957040000.0,2
22/10/20,"26,981.75","27,092.55","26,872.45","27,006.96",-250.42,-0.9,1044530000.0,2
22/10/21,"26,903.50","26,985.38","26,869.38","26,890.58",-116.38,-0.4,1026660000.0,1
22/10/24,"27,233.00","27,308.97","26,974.90","26,974.90",+84.32,+0.3,1030970000.0,1
22/10/25,"27,113.20","27,337.80","27,073.18","27,250.28",+275.38,+1.0,1040080000.0,2
22/10/26,"27,410.64","27,578.05","27,404.90","27,431.84",+181.56,+0.7,1044710000.0,2
22/10/27,"27,407.23","27,450.26","27,330.79","27,345.24",-86.60,-0.3,1078640000.0,1
22/10/28,"27,097.38","27,265.46","26,981.08","27,105.20",-240.04,-0.9,2410340000.0,2
22/10/31,"27,404.30","27,602.99","27,392.99","27,587.46",+482.26,+1.8,1228500000.0,2
22/11/01,"27,614.64","27,682.97","27,526.18","27,678.92",+91.46,+0.3,1232550000.0,2
22/11/02,"27,562.30","27,692.55","27,546.88","27,663.39",-15.53,-0.1,1430690000.0,2
22/11/04,"27,371.89","27,389.30","27,032.02","27,199.74",-463.65,-1.7,1639160000.0,1
22/11/07,"27,406.78","27,578.01","27,357.53","27,527.64",+327.90,+1.2,1233590000.0,2
22/11/08,"27,718.84","27,943.27","27,704.64","27,872.11",+344.47,+1.3,1344690000.0,2
22/11/09,"27,884.55","27,926.52","27,688.86","27,716.43",-155.68,-0.6,1281770000.0,1
22/11/10,"27,459.08","27,485.38","27,370.62","27,446.10",-270.33,-1.0,1270370000.0,1
22/11/11,"27,868.69","28,329.54","27,837.09","28,263.57",+817.47,+3.0,1743680000.0,2
22/11/14,"28,277.64","28,305.04","27,963.47","27,963.47",-300.10,-1.1,1460350000.0,1
22/11/15,"27,940.26","28,038.63","27,903.27","27,990.17",+26.70,+0.1,1211300000.0,2
22/11/16,"28,020.49","28,069.25","27,743.15","28,028.30",+38.13,+0.1,1225490000.0,2
22/11/17,"27,952.21","28,029.62","27,910.01","27,930.57",-97.73,-0.3,1069050000.0,1
22/11/18,"28,009.82","28,045.44","27,877.78","27,899.77",-30.80,-0.1,1126250000.0,1
22/11/21,"27,982.00","28,007.06","27,846.30","27,944.79",+45.02,+0.2,965300000.0,1
22/11/22,"28,059.51","28,203.35","28,038.16","28,115.74",+170.95,+0.6,1204280000.0,2
22/11/24,"28,373.72","28,502.29","28,363.66","28,383.09",+267.35,+1.0,1311100000.0,2
22/11/25,"28,398.77","28,399.88","28,263.60","28,283.03",-100.06,-0.4,999150000.0,1
22/11/28,"28,220.56","28,238.50","28,046.32","28,162.83",-120.20,-0.4,1132760000.0,1
22/11/29,"27,991.50","28,055.91","27,899.98","28,027.84",-134.99,-0.5,1156650000.0,2
22/11/30,"27,886.67","27,972.89","27,802.71","27,968.99",-58.85,-0.2,1664500000.0,2
22/12/01,"28,273.13","28,423.46","28,226.08","28,226.08",+257.09,+0.9,1244980000.0,1
22/12/02,"27,983.18","27,983.18","27,662.12","27,777.90",-448.18,-1.6,1333290000.0,1
22/12/05,"27,752.99","27,854.11","27,700.86","27,820.40",+42.50,+0.2,1069250000.0,2
22/12/06,"27,704.06","27,934.07","27,698.31","27,885.87",+65.47,+0.2,1016220000.0,2
22/12/07,"27,670.29","27,786.25","27,646.78","27,686.40",-199.47,-0.7,1045700000.0,2
22/12/08,"27,622.30","27,643.64","27,415.66","27,574.43",-111.97,-0.4,1091110000.0,1
22/12/09,"27,633.96","27,952.80","27,633.96","27,901.01",+326.58,+1.2,1125880000.0,2
22/12/12,"27,741.10","27,865.72","27,734.66","27,842.33",-58.68,-0.2,921880000.0,2
22/12/13,"28,067.37","28,116.56","27,907.49","27,954.85",+112.52,+0.4,968680000.0,1
22/12/14,"28,005.03","28,195.69","27,993.78","28,156.21",+201.36,+0.7,985580000.0,2
22/12/15,"27,991.14","28,163.17","27,987.54","28,051.70",-104.51,-0.4,913760000.0,2
22/12/16,"27,706.70","27,713.04","27,488.83","27,527.12",-524.58,-1.9,1384130000.0,1
22/12/19,"27,279.92","27,349.58","27,165.78","27,237.64",-289.48,-1.1,971320000.0,1
22/12/20,"27,257.35","27,339.49","26,416.91","26,568.03",-669.61,-2.5,1843920000.0,1
22/12/21,"26,547.17","26,616.28","26,269.80","26,387.72",-180.31,-0.7,1779600000.0,1
22/12/22,"26,552.43","26,585.28","26,399.31","26,507.87",+120.15,+0.5,1150830000.0,1
22/12/23,"26,207.77","26,291.98","26,106.38","26,235.25",-272.62,-1.0,1163440000.0,2
22/12/26,"26,299.54","26,438.65","26,294.85","26,405.87",+170.62,+0.7,820500000.0,2
22/12/27,"26,570.78","26,620.49","26,447.87","26,447.87",+42.00,+0.2,889080000.0,1
22/12/28,"26,309.34","26,354.27","26,199.67","26,340.50",-107.37,-0.4,1047960000.0,2
22/12/29,"26,074.90","26,126.70","25,953.92","26,093.67",-246.83,-0.9,1021780000.0,2
22/12/30,"26,288.00","26,321.37","26,067.92","26,094.50",+0.83,0.0,881800000.0,1
23/01/04,"25,834.93","25,840.68","25,661.89","25,716.86",-377.64,-1.4,1244870000.0,1
23/01/05,"25,825.50","25,947.10","25,750.46","25,820.80",+103.94,+0.4,1128000000.0,1
23/01/06,"25,740.08","26,034.06","25,719.61","25,973.85",+153.05,+0.6,1073510000.0,2
23/01/10,"26,176.61","26,316.66","26,132.80","26,175.56",+201.71,+0.8,1111140000.0,1
23/01/11,"26,362.21","26,479.99","26,332.05","26,446.00",+270.44,+1.0,1058870000.0,2
23/01/12,"26,524.94","26,547.61","26,381.93","26,449.82",+3.82,0.0,1238920000.0,1
23/01/13,"26,391.78","26,409.21","26,090.84","26,119.52",-330.30,-1.2,1479830000.0,1
23/01/16,"25,836.67","25,938.04","25,748.10","25,822.32",-297.20,-1.1,1140010000.0,1
23/01/17,"25,915.51","26,198.69","25,895.30","26,138.68",+316.36,+1.2,1065260000.0,2
23/01/18,"26,251.34","26,816.68","26,211.84","26,791.12",+652.44,+2.5,1409870000.0,2
23/01/19,"26,541.08","26,592.87","26,368.97","26,405.23",-385.89,-1.4,1054600000.0,1
23/01/20,"26,346.69","26,553.53","26,320.96","26,553.53",+148.30,+0.6,952270000.0,2
23/01/23,"26,880.21","26,938.28","26,788.76","26,906.04",+352.51,+1.3,977480000.0,2
23/01/24,"27,150.43","27,381.00","27,150.43","27,299.19",+393.15,+1.5,1119230000.0,2
23/01/25,"27,175.88","27,473.90","27,175.88","27,395.01",+95.82,+0.4,990440000.0,2
23/01/26,"27,444.64","27,502.15","27,284.08","27,362.75",-32.26,-0.1,983700000.0,1
23/01/27,"27,428.41","27,452.67","27,326.91","27,382.56",+19.81,+0.1,1102870000.0,1
23/01/30,"27,384.77","27,486.42","27,337.25","27,433.40",+50.84,+0.2,1130700000.0,2
23/01/31,"27,458.56","27,494.17","27,302.22","27,327.11",-106.29,-0.4,1205420000.0,1
23/02/01,"27,483.41","27,547.67","27,322.79","27,346.88",+19.77,+0.1,1109000000.0,1
23/02/02,"27,453.67","27,472.44","27,338.43","27,402.05",+55.17,+0.2,1196480000.0,1
23/02/03,"27,455.03","27,612.57","27,445.69","27,509.46",+107.41,+0.4,1396670000.0,2
23/02/06,"27,764.66","27,821.22","27,656.47","27,693.65",+184.19,+0.7,1315540000.0,1
23/02/07,"27,744.90","27,814.96","27,662.11","27,685.47",-8.18,-0.0,1126510000.0,1
23/02/08,"27,690.74","27,719.45","27,458.53","27,606.46",-79.01,-0.3,1095000000.0,1
23/02/09,"27,453.40","27,635.38","27,424.69","27,584.35",-22.11,-0.1,1043730000.0,2
23/02/10,"27,711.25","27,814.02","27,609.33","27,670.98",+86.63,+0.3,1396180000.0,1
23/02/13,"27,550.35","27,570.32","27,266.94","27,427.32",-243.66,-0.9,1159250000.0,1
23/02/14,"27,705.37","27,721.82","27,553.18","27,602.77",+175.45,+0.6,1019530000.0,1
23/02/15,"27,686.01","27,720.27","27,444.13","27,501.86",-100.91,-0.4,1187910000.0,1
23/02/16,"27,654.72","27,727.66","27,597.12","27,696.44",+194.58,+0.7,1141740000.0,2
23/02/17,"27,484.60","27,608.59","27,466.61","27,513.13",-183.31,-0.7,1113210000.0,2
23/02/20,"27,497.13","27,531.94","27,426.48","27,531.94",+18.81,+0.1,1013080000.0,2
23/02/21,"27,486.09","27,538.29","27,359.12","27,473.10",-58.84,-0.2,1006630000.0,1
23/02/22,"27,265.99","27,300.53","27,046.08","27,104.32",-368.78,-1.3,1201990000.0,1
23/02/24,"27,144.72","27,465.90","27,128.32","27,453.48",+349.16,+1.3,1234560000.0,2
23/02/27,"27,322.73","27,456.22","27,292.74","27,423.96",-29.52,-0.1,988590000.0,2
23/02/28,"27,515.34","27,585.17","27,400.36","27,445.56",+21.60,+0.1,1388070000.0,1
23/03/01,"27,363.57","27,530.76","27,305.37","27,516.53",+70.97,+0.3,1129250000.0,2
23/03/02,"27,564.82","27,617.80","27,408.54","27,498.87",-17.66,-0.1,1116470000.0,1
23/03/03,"27,683.26","27,961.21","27,655.34","27,927.47",+428.60,+1.6,1268640000.0,2
23/03/06,"28,182.31","28,288.62","28,153.82","28,237.78",+310.31,+1.1,1090540000.0,2
23/03/07,"28,202.59","28,398.27","28,202.59","28,309.16",+71.38,+0.3,1127200000.0,2
23/03/08,"28,237.21","28,469.41","28,232.68","28,444.19",+135.03,+0.5,1106770000.0,2
23/03/09,"28,648.11","28,734.79","28,558.88","28,623.15",+178.96,+0.6,1203000000.0,1
23/03/10,"28,385.29","28,424.24","28,118.74","28,143.97",-479.18,-1.7,1693750000.0,1
23/03/13,"27,886.21","27,906.97","27,631.53","27,832.96",-311.01,-1.1,1477690000.0,1
23/03/14,"27,455.95","27,455.95","27,104.75","27,222.04",-610.92,-2.2,1909670000.0,1
23/03/15,"27,421.66","27,424.94","27,105.99","27,229.48",+7.44,0.0,1345370000.0,1
23/03/16,"26,796.67","27,057.54","26,632.92","27,010.61",-218.87,-0.8,1654880000.0,2
23/03/17,"27,232.23","27,356.15","27,071.71","27,333.79",+323.18,+1.2,1641050000.0,2
23/03/20,"27,253.73","27,367.18","26,945.67","26,945.67",-388.12,-1.4,1360280000.0,1
23/03/22,"27,298.15","27,520.97","27,267.26","27,466.61",+520.94,+1.9,1251790000.0,2
23/03/23,"27,232.97","27,461.97","27,175.63","27,419.61",-47.00,-0.2,1041190000.0,2
23/03/24,"27,368.62","27,397.29","27,257.44","27,385.25",-34.36,-0.1,1019220000.0,2
23/03/27,"27,482.39","27,543.48","27,359.72","27,476.87",+91.62,+0.3,966490000.0,1
23/03/28,"27,573.82","27,603.45","27,432.76","27,518.25",+41.38,+0.2,1054180000.0,1
23/03/29,"27,549.37","27,897.72","27,505.48","27,883.78",+365.53,+1.3,1366740000.0,2
23/03/30,"27,827.89","27,876.38","27,630.55","27,782.93",-100.85,-0.4,1275270000.0,1
23/03/31,"28,009.22","28,124.62","27,986.62","28,041.48",+258.55,+0.9,1425270000.0,2
23/04/03,"28,203.35","28,258.91","28,120.71","28,188.15",+146.67,+0.5,1179750000.0,1
23/04/04,"28,213.93","28,287.42","28,139.12","28,287.42",+99.27,+0.4,1161470000.0,2
23/04/05,"28,111.04","28,133.57","27,788.77","27,813.26",-474.16,-1.7,1165630000.0,1
23/04/06,"27,589.14","27,609.86","27,427.66","27,472.63",-340.63,-1.2,1146510000.0,1
23/04/07,"27,554.37","27,591.15","27,456.25","27,518.31",+45.68,+0.2,820490000.0,1
23/04/10,"27,658.52","27,737.49","27,597.18","27,633.66",+115.35,+0.4,820180000.0,1
23/04/11,"27,895.90","28,068.39","27,854.82","27,923.37",+289.71,+1.0,1046000000.0,2
23/04/12,"27,985.93","28,121.46","27,983.97","28,082.70",+159.33,+0.6,998540000.0,2
23/04/13,"27,952.58","28,163.87","27,952.01","28,156.97",+74.27,+0.3,972290000.0,2
23/04/14,"28,321.54","28,515.51","28,282.82","28,493.47",+336.50,+1.2,1127940000.0,2
23/04/17,"28,537.99","28,599.75","28,414.98","28,514.78",+21.31,+0.1,951290000.0,1
23/04/18,"28,567.54","28,698.22","28,520.76","28,658.83",+144.05,+0.5,1012340000.0,2
23/04/19,"28,619.84","28,677.22","28,531.54","28,606.76",-52.07,-0.2,943800000.0,1
23/04/20,"28,472.00","28,694.25","28,442.45","28,657.57",+50.81,+0.2,922550000.0,2
23/04/21,"28,590.55","28,778.37","28,527.80","28,564.37",-93.20,-0.3,1053030000.0,1
23/04/24,"28,631.78","28,680.65","28,567.24","28,593.52",+29.15,+0.1,826850000.0,1
